"id","book_id","best_book_id","work_id","books_count","isbn","isbn13","authors","original_publication_year","original_title","title","language_code","average_rating","ratings_count","work_ratings_count","work_text_reviews_count","ratings_1","ratings_2","ratings_3","ratings_4","ratings_5","image_url","small_image_url"
"5306","822","822","934263","35","60733357","9780060733350.0","Neal Stephenson","2004.0","The Confusion","The Confusion (The Baroque Cycle, #2)","en-US","4.24","17381","19175","621","144","580","2647","6995","8809","https://images.gr-assets.com/books/1407706997m/822.jpg","https://images.gr-assets.com/books/1407706997s/822.jpg"
"3314","823","823","1610031","36","60593083","9780060593090.0","Neal Stephenson","2003.0","Quicksilver","Quicksilver (The Baroque Cycle, #1)","en-US","3.92","27675","30689","1776","997","2281","5852","10667","10892","https://images.gr-assets.com/books/1377095669m/823.jpg","https://images.gr-assets.com/books/1377095669s/823.jpg"
"7003","825","825","934262","30","553573861","9780553573860.0","Neal Stephenson","1988.0","Zodiac","Zodiac","eng","3.7","13353","14803","569","118","920","4989","6026","2750","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"1519","827","827","2181158","58","553380966","9780553380960.0","Neal Stephenson","1995.0","The Diamond Age","The Diamond Age: or, A Young Lady's Illustrated Primer","eng","4.19","61836","66621","2821","602","2255","10287","24102","29375","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"442","830","830","493634","80","553380958","9780553380960.0","Neal Stephenson","1992.0","Snow Crash","Snow Crash","eng","4.02","175883","187292","7075","7982","10158","29605","61336","78211","https://images.gr-assets.com/books/1477624625m/830.jpg","https://images.gr-assets.com/books/1477624625s/830.jpg"
"6937","840","840","18518","38","465067107","9780465067110.0","Donald A. Norman","1988.0","The Psychology of Everyday Things","The Design of Everyday Things","en-US","4.18","11838","15202","1192","88","483","2327","6020","6284","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"35","865","865","4835472","458","61122416","9780061122420.0","Paulo Coelho, Alan R. Clarke","1988.0","O Alquimista","The Alchemist","eng","3.82","1299566","1403995","55781","74846","123614","289143","412180","504212","https://images.gr-assets.com/books/1483412266m/865.jpg","https://images.gr-assets.com/books/1483412266s/865.jpg"
"893","870","870","1959820","37","1591169208","9781591169210.0","Hiromu Arakawa, Akira Watanabe","2002.0","鋼の錬金術師 1","Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)","eng","4.49","93990","94768","1103","972","1734","8737","21751","61574","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"4268","880","880","268880","109","812974611","9780812974610.0","Robert   Harris","2003.0","Pompeii","Pompeii","eng","3.79","22734","26679","1800","344","1682","7409","11015","6229","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"32","890","890","40283","373","142000671","9780142000670.0","John Steinbeck","1937.0","Of Mice and Men","Of Mice and Men","eng","3.84","1467496","1518741","24642","46630","110856","355169","532291","473795","https://images.gr-assets.com/books/1437235233m/890.jpg","https://images.gr-assets.com/books/1437235233s/890.jpg"
"4908","900","900","387","44","60554738","9780060554740.0","Neil Strauss","2005.0","The Game","The Game: Penetrating the Secret Society of Pickup Artists","en-US","3.73","16698","19145","1517","702","1643","4766","6953","5081","https://images.gr-assets.com/books/1410129471m/900.jpg","https://images.gr-assets.com/books/1410129471s/900.jpg"
"857","902","902","869832","38","014240120X","9780142401200.0","Ellen Raskin","1978.0","The Westing Game","The Westing Game","eng","4.03","117108","124343","7814","2682","6710","24165","41664","49122","https://images.gr-assets.com/books/1356850909m/902.jpg","https://images.gr-assets.com/books/1356850909s/902.jpg"
"4937","903","903","1731888","25","808553038","9780808553040.0","Zilpha Keatley Snyder","1967.0","The Egypt Game","The Egypt Game (Game, #1)","eng","3.81","26657","28206","1140","798","2070","7229","9716","8393","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"33","930","929","1558965","220","739326228","9780739326220.0","Arthur Golden","1997.0","Memoirs of a Geisha","Memoirs of a Geisha","eng","4.08","1300209","1418172","25605","23500","59033","258700","517157","559782","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"7994","952","952","5166","35","1881273652","9781881273650.0","Gary Chapman, D. Ross Campbell","1995.0","The Five Love Languages of Children","The Five Love Languages of Children","","4.21","9744","12513","1329","97","350","1998","4476","5592","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"9","960","960","3338963","311","1416524797","9781416524790.0","Dan Brown","2000.0","Angels & Demons","Angels & Demons  (Robert Langdon, #1)","en-CA","3.85","2001311","2078754","25112","77841","145740","458429","716569","680175","https://images.gr-assets.com/books/1303390735m/960.jpg","https://images.gr-assets.com/books/1303390735s/960.jpg"
"26","968","968","2982101","350","307277674","9780307277670.0","Dan Brown","2003.0","The Da Vinci Code","The Da Vinci Code (Robert Langdon, #2)","eng","3.79","1447148","1557292","41560","71345","126493","340790","539277","479387","https://images.gr-assets.com/books/1303252999m/968.jpg","https://images.gr-assets.com/books/1303252999s/968.jpg"
"145","976","976","3135896","180","671027387","9780671027380.0","Dan Brown","2001.0","Deception Point","Deception Point","eng","3.67","455610","479733","7798","14380","45006","143182","160819","116346","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"2318","998","998","5210","43","671015206","9780671015210.0","Thomas J. Stanley, William D. Danko","1995.0","The Millionaire Next Door: The Surprising Secrets of America's Wealthy","The Millionaire Next Door: The Surprising Secrets of Americas Wealthy","eng","4.0","43937","46748","2049","645","2318","10382","16665","16738","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"680","1005","30186948","1199320","709","1585424331","9781585424340.0","Napoleon Hill","1937.0","Think and Grow Rich","Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century","eng","4.17","87445","117444","3272","2764","5469","18408","33331","57472","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"9670","1032","1032","1224415","26","345479173","9780345479170.0","Donald J. Trump, Tony Schwartz","1987.0","Trump: The Art of the Deal","Trump: The Art of the Deal","en-US","3.66","8768","10055","650","614","965","2595","2948","2933","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png"
"1684","1052","1052","5265","187","451205367","9780451205360.0","George S. Clason","1926.0","","The Richest Man in Babylon","eng","4.23","50206","55675","2524","734","2052","8411","17013","27465","https://images.gr-assets.com/books/1348336780m/1052.jpg","https://images.gr-assets.com/books/1348336780s/1052.jpg"
